-3.145513312829103469e+01,-1.462944692335109487e+01,-2.173536260674725273e+00
-3.152021045282330647e+01,-1.472709434277141938e+01,-2.183002093134787547e+00
-3.158648595409815485e+01,-1.482474363632744918e+01,-2.191274972074360505e+00
-3.165392399902556164e+01,-1.492244872149499990e+01,-2.198422800852222636e+00
-3.172248895451551931e+01,-1.502026351574988894e+01,-2.204513482827153315e+00
-3.179214518747801321e+01,-1.511824193656792836e+01,-2.209614921357930584e+00
-3.186285706482303226e+01,-1.521643790142493557e+01,-2.213795019803333819e+00
-3.193458895346056181e+01,-1.531490532779672797e+01,-2.217121681522141952e+00
-3.200730522030058722e+01,-1.541369813315911763e+01,-2.219662809873132581e+00
-3.208097023225310096e+01,-1.551287023498792195e+01,-2.221486308215085970e+00
-3.215554835622808838e+01,-1.561247555075895832e+01,-2.222660079906779718e+00
-3.223100395913553484e+01,-1.571256799794803882e+01,-2.223252028306993200e+00
-3.230730140788542570e+01,-1.581320149403097908e+01,-2.223330056774504904e+00
-3.238440506938775343e+01,-1.591442995648359826e+01,-2.222962068668093760e+00
-3.246227931055250338e+01,-1.601630730278170844e+01,-2.222215967346538257e+00
-3.254088849828846719e+01,-1.611888745040054971e+01,-2.221159656168536944e+00
-3.262212405372477519e+01,-1.622399950391664802e+01,-2.220282764663674691e+00
-3.270184834759722037e+01,-1.632789792462607181e+01,-2.219256931038768421e+00
-3.278186236259929842e+01,-1.643353005250926913e+01,-2.218554966652261484e+00
-3.286431214925782740e+01,-1.654047203722272030e+01,-2.217143578076154586e+00
-3.294583661465767221e+01,-1.664910830885334647e+01,-2.216187164958403955e+00
-3.302832792328948130e+01,-1.675893316231344343e+01,-2.215097975834098065e+00
-3.310903801144878145e+01,-1.686838153564968579e+01,-2.214145103291033312e+00
-3.319127352161269329e+01,-1.697996197332162183e+01,-2.212654183936058061e+00
-3.327360415773117097e+01,-1.709197542851755713e+01,-2.210797840134142156e+00
-3.335431356146909820e+01,-1.720352248788100269e+01,-2.210124522378045686e+00
-3.343465738607027760e+01,-1.731331728295317873e+01,-2.210366355108239311e+00
-3.351735292273128408e+01,-1.742396404443064384e+01,-2.211271117821898002e+00
-3.360246572635374207e+01,-1.753496835415410970e+01,-2.212287239311393705e+00
-3.368881341500591020e+01,-1.764784933160560598e+01,-2.214181064568799151e+00
-3.377399928392772210e+01,-1.775937343810000968e+01,-2.216826088823752983e+00
-3.386071254609034042e+01,-1.787118164796908459e+01,-2.219967013726697136e+00
-3.394783138947922652e+01,-1.798374858624735850e+01,-2.222424396379647504e+00
-3.403246954967294613e+01,-1.809434587143838513e+01,-2.225491932024951325e+00
-3.411920544361814223e+01,-1.820664528404157423e+01,-2.228591586633624999e+00
